               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11041,              0.0354,            0.046336,           0.0064917,             0.26637,            0.010574,           0.0020044,            0.091922,            0.026449,            0.053348,              0.0865,              0.0015,              0.0015
                   1,            0.084566,            0.042369,            0.043338,           0.0081125,             0.70717,            0.083351,             0.01856,            0.067393,            0.025161,            0.051198,            0.072069,           0.0030693,           0.0030693
                   2,            0.069548,            0.037172,            0.037697,             0.19213,              0.3417,              0.2238,            0.080271,            0.060784,            0.024349,            0.030564,            0.057607,           0.0046069,           0.0046069
                   3,             0.06552,            0.036278,            0.031987,             0.68761,             0.26279,             0.27304,            0.088587,            0.059526,            0.020549,            0.029633,            0.043113,           0.0061129,           0.0061129
                   4,             0.06448,            0.037752,             0.02672,             0.40848,             0.20716,             0.22873,            0.063626,             0.06729,            0.017553,            0.028374,            0.028587,           0.0075872,           0.0075872
                   5,              0.0636,            0.036252,            0.024738,             0.70622,             0.25895,              0.3236,             0.11004,            0.065231,             0.01771,            0.024091,             0.01403,           0.0090297,           0.0090297
                   6,            0.060902,            0.032213,            0.021592,             0.37756,             0.50527,             0.42841,             0.12978,            0.064358,            0.017178,            0.019832,            0.009406,            0.009406,            0.009406
                   7,            0.061053,            0.037892,            0.020009,             0.50058,             0.45618,              0.4638,              0.1651,            0.067088,            0.016688,            0.014765,            0.009406,            0.009406,            0.009406
                   8,            0.056945,             0.02881,            0.016037,             0.45247,              0.5105,             0.46257,             0.17072,             0.06451,            0.016814,            0.012804,            0.009307,            0.009307,            0.009307
                   9,            0.055551,            0.031502,            0.014024,             0.41173,             0.60965,               0.498,             0.15892,            0.066036,            0.015891,            0.012882,            0.009208,            0.009208,            0.009208
                  10,            0.054346,            0.028685,            0.012908,             0.49864,             0.59697,             0.48592,             0.17102,            0.056938,            0.016418,            0.011766,            0.009109,            0.009109,            0.009109
                  11,            0.051695,            0.028048,            0.011662,             0.52178,             0.51785,             0.47264,             0.13725,            0.067473,            0.015379,            0.011204,             0.00901,             0.00901,             0.00901
                  12,            0.052496,            0.030177,            0.010892,              0.6652,             0.54432,             0.62328,             0.24206,            0.059789,            0.016506,            0.012273,            0.008911,            0.008911,            0.008911
                  13,            0.051819,            0.029583,            0.011749,             0.43365,             0.67468,             0.46242,              0.1771,             0.06051,            0.016225,             0.01223,            0.008812,            0.008812,            0.008812
                  14,            0.052781,            0.029551,           0.0092877,             0.57449,             0.68943,             0.58723,             0.22723,            0.055981,            0.017163,            0.009898,            0.008713,            0.008713,            0.008713
                  15,            0.050079,            0.029636,           0.0088227,             0.70662,             0.65646,             0.62938,             0.24599,            0.049187,            0.018522,           0.0085099,            0.008614,            0.008614,            0.008614
                  16,            0.050353,            0.027879,           0.0084216,             0.69942,             0.56702,             0.62406,              0.2299,            0.055209,            0.018346,           0.0084364,            0.008515,            0.008515,            0.008515
                  17,            0.046465,            0.027959,             0.01084,             0.69507,             0.64009,             0.63045,             0.28291,            0.049509,            0.016764,           0.0076341,            0.008416,            0.008416,            0.008416
                  18,            0.048229,            0.029405,           0.0084991,             0.75558,             0.60522,             0.68983,             0.27741,             0.04595,            0.016224,            0.007861,            0.008317,            0.008317,            0.008317
                  19,              0.0455,            0.027191,            0.010838,             0.86316,             0.66367,              0.7531,             0.28728,            0.041979,             0.01628,           0.0076627,            0.008218,            0.008218,            0.008218
                  20,            0.046097,             0.02634,           0.0096082,             0.85174,             0.66477,             0.73347,             0.32307,            0.047738,            0.016164,           0.0072154,            0.008119,            0.008119,            0.008119
                  21,            0.047307,             0.02724,           0.0074337,             0.83974,             0.58989,             0.67426,             0.31535,            0.062735,            0.016566,           0.0073882,             0.00802,             0.00802,             0.00802
                  22,            0.047675,            0.026124,            0.011221,             0.88896,             0.65847,             0.75934,             0.37031,            0.047325,            0.016272,           0.0077239,            0.007921,            0.007921,            0.007921
                  23,            0.042475,            0.025289,           0.0098448,             0.87435,             0.66182,             0.73119,             0.34666,            0.048495,            0.015807,            0.010086,            0.007822,            0.007822,            0.007822
                  24,            0.045251,            0.025649,           0.0076588,             0.88284,             0.65181,             0.73641,              0.3686,            0.041853,            0.015222,           0.0098714,            0.007723,            0.007723,            0.007723
                  25,            0.042736,             0.02994,           0.0079622,             0.86172,             0.61325,             0.71098,             0.34348,            0.041444,            0.015234,             0.00798,            0.007624,            0.007624,            0.007624
                  26,            0.041053,            0.025744,           0.0075816,             0.88924,              0.6473,              0.7246,             0.32445,            0.051296,            0.015125,           0.0080203,            0.007525,            0.007525,            0.007525
                  27,            0.041607,            0.025641,           0.0067288,             0.83419,             0.68623,             0.74367,             0.36507,            0.044275,            0.015639,           0.0081976,            0.007426,            0.007426,            0.007426
                  28,            0.040457,            0.025927,           0.0071898,             0.87983,             0.65666,             0.73564,             0.38186,            0.042802,            0.016065,            0.010131,            0.007327,            0.007327,            0.007327
                  29,            0.038838,            0.028395,           0.0067623,             0.80681,             0.64969,             0.70433,             0.36886,            0.041587,             0.01678,            0.010135,            0.007228,            0.007228,            0.007228
                  30,            0.039532,            0.026247,            0.007944,             0.79373,             0.66838,             0.71517,             0.36538,            0.042406,            0.016325,             0.00821,            0.007129,            0.007129,            0.007129
                  31,            0.039541,            0.024683,           0.0078114,             0.86687,             0.70585,             0.75921,             0.35526,            0.044869,            0.015496,           0.0076678,             0.00703,             0.00703,             0.00703
                  32,            0.040596,            0.026442,            0.007106,             0.78857,             0.71423,              0.7537,             0.37984,            0.045124,            0.016848,           0.0091569,            0.006931,            0.006931,            0.006931
                  33,            0.039228,            0.025208,           0.0055383,             0.82707,             0.62739,             0.72282,             0.37148,            0.044652,            0.018399,           0.0092155,            0.006832,            0.006832,            0.006832
                  34,            0.040091,            0.026255,           0.0065965,             0.88886,             0.62247,             0.79962,             0.39086,            0.042116,            0.016498,           0.0075716,            0.006733,            0.006733,            0.006733
                  35,            0.039301,            0.025132,           0.0061919,             0.88143,             0.75677,             0.82725,             0.39331,            0.039351,            0.015921,           0.0048996,            0.006634,            0.006634,            0.006634
                  36,            0.037724,            0.024794,           0.0048377,              0.8566,               0.714,             0.79709,             0.38563,            0.040759,            0.016274,           0.0063083,            0.006535,            0.006535,            0.006535
                  37,            0.039492,            0.026182,           0.0070718,             0.95655,              0.6725,             0.79591,             0.40268,            0.038598,            0.015956,           0.0080761,            0.006436,            0.006436,            0.006436
                  38,            0.039016,             0.02395,           0.0055525,             0.90304,             0.71049,             0.77345,             0.35665,            0.047885,            0.015798,           0.0061944,            0.006337,            0.006337,            0.006337
                  39,            0.038568,            0.024506,           0.0075664,             0.92073,             0.73842,             0.79549,             0.39618,            0.043924,            0.014799,           0.0049262,            0.006238,            0.006238,            0.006238
                  40,            0.036551,            0.024636,           0.0055429,               0.871,             0.75848,             0.80156,             0.39629,            0.040422,            0.015567,           0.0046821,            0.006139,            0.006139,            0.006139
                  41,            0.035879,            0.023522,           0.0051635,             0.81469,              0.7509,             0.77666,             0.39018,            0.042103,            0.014856,           0.0047168,             0.00604,             0.00604,             0.00604
                  42,            0.037608,            0.022183,           0.0034792,             0.87871,             0.78728,             0.78706,             0.38604,            0.040083,            0.015236,           0.0059212,            0.005941,            0.005941,            0.005941
                  43,            0.035964,            0.023281,           0.0059432,             0.83503,             0.73808,              0.7833,             0.41398,            0.042287,            0.014822,           0.0058057,            0.005842,            0.005842,            0.005842
                  44,            0.036724,            0.022112,            0.006257,             0.82886,             0.73949,             0.78959,             0.39424,            0.045122,            0.016332,           0.0066312,            0.005743,            0.005743,            0.005743
                  45,            0.031531,            0.023398,           0.0056208,              0.8311,             0.72049,              0.7601,             0.38683,            0.042513,            0.016746,           0.0075406,            0.005644,            0.005644,            0.005644
                  46,             0.03778,            0.022879,           0.0058994,             0.86892,              0.7423,             0.76888,             0.40746,            0.042387,            0.015808,           0.0075469,            0.005545,            0.005545,            0.005545
                  47,            0.036459,            0.024675,           0.0051371,             0.87699,             0.76575,             0.80538,             0.42518,            0.042779,            0.014942,           0.0067114,            0.005446,            0.005446,            0.005446
                  48,            0.036383,            0.022268,           0.0058192,             0.85786,              0.7673,             0.79731,             0.40089,             0.03651,             0.01504,           0.0066595,            0.005347,            0.005347,            0.005347
                  49,            0.034533,            0.021756,           0.0042418,             0.91878,             0.75658,             0.80736,             0.41575,            0.040269,            0.015295,           0.0060451,            0.005248,            0.005248,            0.005248
                  50,            0.033616,            0.022669,           0.0065365,             0.91979,             0.75946,             0.81468,             0.43656,            0.036028,            0.015859,           0.0053196,            0.005149,            0.005149,            0.005149
                  51,            0.035044,            0.023355,           0.0053679,             0.89878,              0.7673,             0.81858,             0.42723,            0.041492,             0.01627,           0.0051014,             0.00505,             0.00505,             0.00505
                  52,            0.033127,             0.02287,            0.005197,             0.81847,             0.78435,             0.78938,             0.41862,            0.038395,            0.016501,            0.005915,            0.004951,            0.004951,            0.004951
                  53,            0.034341,            0.023584,           0.0055912,             0.93243,             0.72795,             0.78498,             0.39614,             0.03862,            0.016736,           0.0061479,            0.004852,            0.004852,            0.004852
                  54,            0.033095,             0.02462,           0.0068117,             0.95569,             0.70585,             0.78671,             0.41299,            0.042472,            0.016657,           0.0060504,            0.004753,            0.004753,            0.004753
                  55,            0.033837,            0.021567,           0.0055177,             0.86015,             0.76904,             0.81475,             0.40963,            0.040051,            0.016453,           0.0059416,            0.004654,            0.004654,            0.004654
                  56,            0.034919,            0.023724,           0.0049715,             0.82064,             0.78776,             0.81457,             0.44383,            0.038705,            0.016198,           0.0062168,            0.004555,            0.004555,            0.004555
                  57,            0.033529,            0.023085,           0.0037108,              0.8891,             0.71091,             0.78067,             0.40971,            0.039471,            0.015638,           0.0065347,            0.004456,            0.004456,            0.004456
                  58,            0.031588,            0.021009,           0.0039611,             0.89112,             0.76202,              0.7941,             0.40181,            0.041001,            0.016178,           0.0057094,            0.004357,            0.004357,            0.004357
                  59,            0.030643,            0.021415,           0.0051452,             0.92418,               0.757,             0.81219,             0.42845,            0.041067,            0.015445,            0.007865,            0.004258,            0.004258,            0.004258
                  60,            0.033332,            0.023219,           0.0042163,             0.90617,               0.757,             0.80357,             0.42318,            0.038249,            0.016155,           0.0078706,            0.004159,            0.004159,            0.004159
                  61,            0.030201,            0.019858,           0.0043269,             0.88384,             0.75839,             0.78553,             0.44281,            0.037012,            0.015808,           0.0076608,             0.00406,             0.00406,             0.00406
                  62,            0.031708,            0.020852,           0.0060855,             0.89437,              0.7319,             0.76374,             0.41885,            0.036216,            0.016513,           0.0079456,            0.003961,            0.003961,            0.003961
                  63,            0.032282,            0.021859,           0.0050605,             0.90044,             0.68985,             0.77898,              0.4325,            0.034925,            0.016771,           0.0092003,            0.003862,            0.003862,            0.003862
                  64,            0.031211,              0.0224,           0.0059586,             0.89904,             0.74414,             0.77772,             0.41528,            0.038547,            0.016945,            0.010367,            0.003763,            0.003763,            0.003763
                  65,            0.031256,            0.021035,           0.0046282,             0.90825,             0.72062,             0.76328,             0.42533,             0.03342,            0.016803,           0.0091106,            0.003664,            0.003664,            0.003664
                  66,            0.030538,            0.020562,           0.0037686,             0.92793,              0.6911,             0.77991,             0.43544,             0.03554,            0.016383,           0.0073287,            0.003565,            0.003565,            0.003565
                  67,            0.031597,             0.02116,           0.0042677,             0.85853,             0.73425,             0.78634,             0.43838,            0.033049,            0.016181,            0.007548,            0.003466,            0.003466,            0.003466
                  68,            0.029874,            0.020678,           0.0044418,             0.85135,             0.73223,             0.79424,             0.43041,            0.034946,            0.015857,           0.0072694,            0.003367,            0.003367,            0.003367
                  69,            0.030657,            0.022544,           0.0042222,             0.85329,             0.74029,             0.80224,             0.43158,            0.037029,            0.015821,           0.0075521,            0.003268,            0.003268,            0.003268
                  70,            0.027436,            0.019919,            0.003165,              0.8693,             0.73656,             0.79947,             0.43144,            0.037161,            0.015889,           0.0076732,            0.003169,            0.003169,            0.003169
                  71,             0.02781,            0.020661,           0.0044568,             0.92694,             0.71352,             0.79316,             0.42635,            0.038982,            0.016447,           0.0078612,             0.00307,             0.00307,             0.00307
                  72,            0.028432,            0.019332,           0.0037006,             0.88532,             0.72627,             0.79219,             0.43663,            0.040054,            0.016438,           0.0071562,            0.002971,            0.002971,            0.002971
                  73,            0.030011,            0.021294,            0.004412,             0.90369,             0.72747,             0.78491,             0.42665,            0.035296,            0.017053,           0.0065021,            0.002872,            0.002872,            0.002872
                  74,            0.029378,            0.024048,            0.003403,             0.91775,             0.71722,             0.80454,             0.43726,            0.035912,             0.01667,           0.0059469,            0.002773,            0.002773,            0.002773
                  75,            0.029471,            0.021266,           0.0038579,             0.91786,             0.73103,             0.77358,             0.41372,            0.041284,            0.016563,           0.0054599,            0.002674,            0.002674,            0.002674
                  76,            0.029092,            0.021382,           0.0039575,             0.90307,             0.70585,             0.77512,             0.42861,            0.037689,            0.016121,           0.0054982,            0.002575,            0.002575,            0.002575
                  77,            0.028992,             0.02043,           0.0030775,             0.90287,             0.70709,             0.77898,             0.43966,            0.038053,            0.015857,           0.0056783,            0.002476,            0.002476,            0.002476
                  78,            0.031365,            0.020478,           0.0033165,             0.91818,             0.70849,             0.77045,             0.44733,             0.03942,            0.016125,           0.0056735,            0.002377,            0.002377,            0.002377
                  79,            0.028465,            0.020191,           0.0041417,             0.91027,             0.70421,             0.77598,              0.4577,            0.038969,            0.016846,           0.0058979,            0.002278,            0.002278,            0.002278
                  80,            0.026631,            0.019694,           0.0029045,             0.91569,             0.70543,             0.77016,             0.45389,            0.035296,            0.017269,           0.0058669,            0.002179,            0.002179,            0.002179
                  81,            0.025747,            0.018686,           0.0027354,             0.92249,             0.70263,             0.75737,             0.43286,             0.03427,              0.0174,           0.0059802,             0.00208,             0.00208,             0.00208
                  82,            0.026146,            0.020314,           0.0032579,             0.91009,             0.70848,             0.76387,             0.42914,            0.035556,            0.017589,           0.0056212,            0.001981,            0.001981,            0.001981
                  83,            0.027486,            0.018923,           0.0027337,             0.90491,             0.72059,             0.77187,             0.42472,            0.037026,            0.017456,           0.0048951,            0.001882,            0.001882,            0.001882
                  84,            0.028352,             0.01944,           0.0024571,               0.887,             0.74567,             0.78032,             0.43159,            0.033443,            0.017385,           0.0044466,            0.001783,            0.001783,            0.001783
                  85,            0.026594,            0.020009,           0.0025855,             0.86273,             0.75863,             0.79601,             0.43175,            0.032996,            0.016857,           0.0043077,            0.001684,            0.001684,            0.001684
                  86,            0.026307,            0.019901,           0.0028639,             0.88854,             0.76257,             0.78987,             0.43474,            0.035482,            0.016846,            0.004651,            0.001585,            0.001585,            0.001585
                  87,            0.024996,            0.019108,            0.003028,             0.88915,             0.75541,             0.78317,             0.42527,             0.03488,            0.017319,           0.0049596,            0.001486,            0.001486,            0.001486
                  88,            0.025546,            0.019279,            0.006075,             0.92028,             0.68411,             0.76779,             0.43747,            0.036011,            0.017374,           0.0050201,            0.001387,            0.001387,            0.001387
                  89,            0.025456,            0.020114,           0.0022826,              0.9186,             0.68411,              0.7747,             0.44045,            0.036395,            0.017194,           0.0050234,            0.001288,            0.001288,            0.001288
                  90,            0.026636,             0.02043,           0.0025164,             0.85821,              0.7475,             0.79103,             0.44427,            0.036588,            0.017307,           0.0052372,            0.001189,            0.001189,            0.001189
                  91,             0.02503,             0.01939,           0.0020533,             0.85316,             0.73241,             0.79498,             0.44868,            0.034889,            0.017294,            0.005385,             0.00109,             0.00109,             0.00109
                  92,            0.024158,            0.020017,           0.0024192,             0.84754,             0.74577,             0.79372,             0.45312,             0.03508,            0.016938,           0.0055697,            0.000991,            0.000991,            0.000991
                  93,            0.025823,            0.020386,           0.0024391,              0.8531,             0.74619,             0.79626,              0.4459,            0.034998,            0.017024,           0.0055783,            0.000892,            0.000892,            0.000892
                  94,            0.026341,            0.019087,           0.0036795,             0.85208,               0.757,             0.79351,             0.45426,            0.035667,            0.017123,           0.0054316,            0.000793,            0.000793,            0.000793
                  95,            0.026739,             0.01968,           0.0024297,             0.85115,             0.75072,             0.79277,             0.45823,            0.035328,            0.017195,           0.0057127,            0.000694,            0.000694,            0.000694
                  96,            0.025265,            0.019996,           0.0023361,             0.86391,             0.76366,             0.79484,             0.45357,            0.034926,            0.017131,           0.0054094,            0.000595,            0.000595,            0.000595
                  97,            0.025503,            0.020379,           0.0027727,             0.86626,             0.75892,             0.80293,             0.45836,            0.034568,            0.017021,            0.005138,            0.000496,            0.000496,            0.000496
                  98,            0.023946,            0.018807,           0.0023568,             0.86462,             0.76066,             0.80373,             0.45263,            0.034999,            0.016971,            0.005182,            0.000397,            0.000397,            0.000397
                  99,            0.027121,             0.02043,           0.0033861,             0.87278,             0.76365,             0.80509,             0.46159,            0.035043,            0.016922,            0.005371,            0.000298,            0.000298,            0.000298
